# US States Location Table
# Format: location_id	name	polygon_vertices
# polygon_vertices format: lon1,lat1;lon2,lat2;lon3,lat3;...
# Vertices represent actual state boundaries (simplified to 13-50 vertices per state)
# Vertices are in counterclockwise order
# Longitude: negative for West, positive for East
# Latitude: negative for South, positive for North
# Note: Alaska uses extended western longitude (around -189° to -130°) for consistency
#       across the International Date Line. Scripts calculate rectangular
#       bounds from these polygons automatically.
location_id	name	polygon_vertices
alabama	Alabama	-87.359296,35.00118;-85.606675,34.984749;-85.431413,34.124869;-85.184951,32.859696;-85.069935,32.580372;-84.960397,32.421541;-85.004212,32.322956;-84.889196,32.262709;-85.058981,32.13674;-85.053504,32.01077;-85.141136,31.840985;-85.042551,31.539753;-85.113751,31.27686;-85.004212,31.003013;-85.497137,30.997536;-87.600282,30.997536;-87.633143,30.86609;-87.408589,30.674397;-87.446927,30.510088;-87.37025,30.427934;-87.518128,30.280057;-87.655051,30.247195;-87.90699,30.411504;-87.934375,30.657966;-88.011052,30.685351;-88.10416,30.499135;-88.137022,30.318396;-88.394438,30.367688;-88.471115,31.895754;-88.241084,33.796253;-88.098683,34.891641;-88.202745,34.995703;-87.359296,35.00118
alaska	Alaska	-147.786379,70.245291;-143.25695,70.119321;-139.198537,60.091043;-135.068924,59.422857;-131.837529,56.602232;-130.917403,54.789365;-132.127807,55.955953;-133.814705,57.834544;-135.912373,58.617746;-137.566409,58.590362;-140.92925,59.745996;-145.820158,60.551106;-147.758995,60.912584;-148.399797,59.997935;-150.716543,59.450241;-151.423068,60.211536;-151.165652,61.044031;-153.761721,59.543349;-154.818771,58.004329;-157.20124,56.766541;-160.027341,55.791645;-162.218117,55.03035;-163.587352,54.614103;-162.880827,55.183705;-160.558604,55.994292;-157.119086,58.869686;-160.054726,58.886116;-162.502918,59.997935;-165.323543,61.170001;-164.819664,62.637821;-160.952944,64.08921;-162.858919,64.49998;-166.517516,65.337952;-164.403417,66.581218;-161.199406,66.208786;-161.851162,67.052235;-166.375115,68.42147;-160.487404,70.453415;-155.503388,70.858708;-151.773592,70.486276
arizona	Arizona	-109.042503,37.000263;-109.04798,31.331629;-111.074448,31.331629;-112.246513,31.704061;-114.815198,32.492741;-114.72209,32.717295;-114.524921,32.755634;-114.470151,32.843265;-114.524921,33.029481;-114.661844,33.034958;-114.727567,33.40739;-114.524921,33.54979;-114.497536,33.697668;-114.535874,33.933176;-114.415382,34.108438;-114.256551,34.174162;-114.136058,34.305608;-114.333228,34.448009;-114.470151,34.710902;-114.634459,34.87521;-114.634459,35.00118;-114.574213,35.138103;-114.596121,35.324319;-114.678275,35.516012;-114.738521,36.102045;-114.371566,36.140383;-114.251074,36.01989;-114.152489,36.025367;-114.048427,36.195153;-114.048427,37.000263;-110.499369,37.00574;-109.042503,37.000263
arkansas	Arkansas	-94.473842,36.501861;-90.152536,36.496384;-90.064905,36.304691;-90.218259,36.184199;-90.377091,35.997983;-89.730812,35.997983;-89.763673,35.811767;-89.911551,35.756997;-89.944412,35.603643;-90.130628,35.439335;-90.114197,35.198349;-90.212782,35.023087;-90.311367,34.995703;-90.251121,34.908072;-90.409952,34.831394;-90.481152,34.661609;-90.585214,34.617794;-90.568783,34.420624;-90.749522,34.365854;-90.744046,34.300131;-90.952169,34.135823;-90.891923,34.026284;-91.072662,33.867453;-91.231493,33.560744;-91.056231,33.429298;-91.143862,33.347144;-91.089093,33.13902;-91.16577,33.002096;-93.608485,33.018527;-94.041164,33.018527;-94.041164,33.54979;-94.183564,33.593606;-94.380734,33.544313;-94.484796,33.637421;-94.430026,35.395519;-94.616242,36.501861;-94.473842,36.501861
california	California	-123.233256,42.006186;-121.037003,41.995232;-119.996384,40.264519;-118.71478,38.101128;-115.85034,35.970598;-114.634459,34.87521;-114.333228,34.448009;-114.415382,34.108438;-114.497536,33.697668;-114.727567,33.40739;-114.470151,32.843265;-114.72209,32.717295;-117.126467,32.536556;-117.329114,33.122589;-117.7837,33.538836;-118.260194,33.703145;-118.566903,34.042715;-119.218659,34.146777;-119.558229,34.415147;-120.472878,34.448009;-120.609801,34.858779;-120.631709,35.099764;-121.004141,35.461243;-121.283465,35.674843;-121.716143,36.195153;-121.858544,36.6114;-121.929744,36.978355;-122.335038,37.115279;-122.515777,37.520572;-122.329561,37.783465;-122.488392,38.112082;-122.937501,38.029928;-123.129194,38.451652;-123.44138,38.698114;-123.824765,39.366301;-123.85215,39.831841;-124.361506,40.259042;-124.109566,41.025814;-124.065751,41.442061;-124.257444,41.781632
colorado	Colorado	-107.919731,41.003906;-105.728954,40.998429;-104.053011,41.003906;-102.053927,41.003906;-102.053927,40.001626;-102.042974,36.994786;-103.001438,37.000263;-104.337812,36.994786;-106.868158,36.994786;-107.421329,37.000263;-109.042503,37.000263;-109.042503,38.166851;-109.058934,38.27639;-109.053457,39.125316;-109.04798,40.998429;-107.919731,41.003906
connecticut	Connecticut	-73.053528,42.039048;-71.799309,42.022617;-71.799309,42.006186;-71.799309,41.414677;-71.859555,41.321569;-71.947186,41.338;-72.385341,41.261322;-72.905651,41.28323;-73.130205,41.146307;-73.371191,41.102491;-73.655992,40.987475;-73.727192,41.102491;-73.48073,41.21203;-73.55193,41.294184;-73.486206,42.050002;-73.053528,42.039048
delaware	Delaware	-75.414089,39.804456;-75.507197,39.683964;-75.611259,39.61824;-75.589352,39.459409;-75.441474,39.311532;-75.403136,39.065069;-75.189535,38.807653;-75.09095,38.796699;-75.047134,38.451652;-75.693413,38.462606;-75.786521,39.722302;-75.616736,39.831841;-75.414089,39.804456
district-of-columbia	District of Columbia	-77.035264,38.993869;-76.909294,38.895284;-77.040741,38.791222;-77.117418,38.933623;-77.035264,38.993869
florida	Florida	-85.497137,30.997536;-85.004212,31.003013;-83.498053,30.647012;-82.167157,30.356734;-82.002849,30.564858;-81.948079,30.827751;-81.444201,30.707258;-81.257985,29.787132;-80.524075,28.461713;-80.56789,28.094758;-80.091397,27.021277;-80.036627,26.566691;-80.239274,25.723243;-80.304997,25.383672;-80.573367,25.241272;-81.077246,25.120779;-81.126538,25.378195;-81.526355,25.903982;-81.800202,26.090198;-82.041187,26.517399;-82.057618,26.878877;-82.172634,26.917216;-82.249311,26.758384;-82.692943,27.437525;-82.588881,27.815434;-82.851774,27.886634;-82.643651,28.888914;-82.802482,29.14633;-83.218729,29.420177;-83.410422,29.66664;-83.640454,29.885717;-84.357933,30.055502;-84.451041,29.929533;-85.310921,29.699501;-85.404029,29.940487;-86.29677,30.362211;-86.910187,30.373165;-87.37025,30.427934;-87.408589,30.674397;-87.600282,30.997536
